timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.576000,-1.300119,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.578000,-1.300139,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.580000,-1.300069,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.582000,-1.300039,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.584000,-1.300039,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.586000,-1.300119,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.588000,-1.300159,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.590000,-1.300129,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.592000,-1.300049,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.594000,-1.300079,-3.50009,0.0,0.0,38195.999969
0 days 00:00:00.596000,-1.300079,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.598000,-1.300089,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.600000,-1.300009,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.602000,-1.299999,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.604000,-1.299989,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.606000,-1.300019,-3.50008,0.0,0.0,38195.999969
0 days 00:00:00.608000,-1.300049,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.610000,-1.299989,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.612000,-1.299989,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.614000,-1.3000289999999999,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.616000,-1.299999,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.618000,-1.299949,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.620000,-1.299969,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.622000,-1.300009,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.624000,-1.300019,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.626000,-1.300049,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.628000,-1.299989,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.630000,-1.300059,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.632000,-1.300109,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.634000,-1.300139,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.636000,-1.300059,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.638000,-1.299879,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.640000,-1.299859,-3.50008,0.0,0.0,38195.999969
0 days 00:00:00.642000,-1.299849,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.644000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.646000,-1.299919,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.648000,-1.2999290000000001,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.650000,-1.299999,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.652000,-1.3000289999999999,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.654000,-1.300099,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.656000,-1.300059,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.658000,-1.300069,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.660000,-1.300059,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.662000,-1.300129,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.664000,-1.300079,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.666000,-1.300039,-3.50006,0.0,0.0,38195.999969
0 days 00:00:00.668000,-1.299989,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.670000,-1.300089,-3.50008,0.0,0.0,38195.999969
0 days 00:00:00.672000,-1.300119,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.674000,-1.300059,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.676000,-1.299979,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.678000,-1.299969,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.680000,-1.300019,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.682000,-1.300009,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.684000,-1.299949,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.686000,-1.2998889999999999,-3.50002,0.0,0.0,38195.999969
