timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.282000,-165.441095,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.284000,-165.441075,208.003959,0.0,0.0,2471.999998
0 days 00:00:00.286000,-165.441095,208.003949,0.0,0.0,2471.999998
0 days 00:00:00.288000,-165.441075,208.003959,0.0,0.0,2471.999998
0 days 00:00:00.290000,-165.441095,208.003949,0.0,0.0,2471.999998
0 days 00:00:00.292000,-165.441105,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.294000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.296000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.298000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.300000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.302000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.304000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.306000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.308000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.310000,-165.441155,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.312000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.314000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.316000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.318000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.320000,-165.441125,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.322000,-165.441125,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.324000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.326000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.328000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.330000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.332000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.334000,-165.441145,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.336000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.338000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.340000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.342000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.344000,-165.441085,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.346000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.348000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.350000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.352000,-165.441105,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.354000,-165.441115,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.356000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.358000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.360000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.362000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.364000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.366000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.368000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.370000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.372000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.374000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.376000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.378000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.380000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.382000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.384000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.386000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.388000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.390000,-165.441065,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.392000,-165.441065,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.394000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.396000,-165.441075,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.398000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.400000,-165.441105,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.402000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.404000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.406000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.408000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.410000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.412000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.414000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.416000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.418000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.420000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.422000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.424000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.426000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.428000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.430000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.432000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.434000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.436000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.438000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.440000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.442000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.444000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.446000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.448000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.450000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.452000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.454000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.456000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.458000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.460000,-165.441125,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.462000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.464000,-165.441135,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.466000,-165.441155,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.468000,-165.441145,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.470000,-165.441145,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.472000,-165.441155,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.474000,-165.441165,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.476000,-165.441165,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.478000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.480000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.482000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.484000,-165.441125,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.486000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.488000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.490000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.492000,-165.441115,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.494000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.496000,-165.441135,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.498000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.500000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.502000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.504000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.506000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.508000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.510000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.512000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.514000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.516000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.518000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.520000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.522000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.524000,-165.441085,208.003999,0.0,0.0,2471.999998
